id,adult,backdrop_path,genre_ids,vote_count,original_language,original_title,poster_path,title,video,vote_average,popularity,overview,release_date
149786,FALSE,/7vbpa12Exm05FaLno7i4YwHwaBA.jpg,"c(18, 10751, 10770, 10749)",64,en,Christmas with Holly,/mdHBjHVyiDIdiPyEOt79P2IPvv8.jpg,Christmas with Holly,FALSE,6.3,7.795,"After being dumped at the alter on her wedding day, Maggie Conway moves to the island town of Friday Harbor in Washington State, where she meets Mark Nagle, the local coffee shop owner.",2012-12-09
25852,FALSE,/o7LbyPMrKCztmHidoHCTSngtgU6.jpg,"c(35, 18, 10749)",30,en,Nothing Like the Holidays,/veP26wuib65SnkFjyLgFeIWeFzd.jpg,Nothing Like the Holidays,FALSE,6.5,7.272,It’s Christmastime and the far-flung members of the Rodriguez family are converging at their parents’ home in Chicago to celebrate the season and rejoice in their youngest brother’s safe return from combat overseas.,2008-12-12
369052,FALSE,/1ZlIsLgV2gzsZTV1halt0YFDXz4.jpg,"c(9648, 10749, 10751, 10770)",42,en,Debbie Macomber's Dashing Through The Snow,/zkZGAP83TyqowMWnZV7Yc463nMC.jpg,Dashing Through the Snow,FALSE,6,6.637,"Stranded at an airport at Christmastime, Ashley Harrison accepts a ride from Dash Sutherland, who has just rented the last car in town. As the pair heads north, their adventures include car trouble, adopting a puppy and being secretly tailed by federal agents, who believe Ashley is up to no good. With a hint of romance gradually filling the air will these two fall in love or will their journey bring about an unexpected road bump to romance?",2015-12-13
42443,FALSE,/itINJtge67KDWo4hw0ZYAMVsc67.jpg,"c(35, 10749)",111,it,Vacanze di Natale '90,/pJKKjFIItN4QTMGxa6P8ZxUHjei.jpg,Christmas Vacation '90,FALSE,5,5.866,Several characters coincide during the Christmas holidays in the winter season of Saint Moritz.,1990-12-12
555183,FALSE,/aLVMThJhbffnhCAt54corRwtcfV.jpg,"c(18, 10749, 10770)",15,en,Last Vermont Christmas,/7J1R7aaZwvjk9WXwuWwJQL9kbui.jpg,Last Vermont Christmas,FALSE,6.3,6.589,"When widowed mom Megan returns home for Christmas, she and her two sisters Audrey and Bethany are surprised to learn their parents are selling their childhood home, making this their last Christmas together in Vermont. Megan is even more surprised to discover that the buyer is her high school sweetheart, Nash, who plans to use the house as an investment property.",2018-11-19
7088,FALSE,NA,"c(35, 18, 10749, 10770)",45,en,Christmas in Boston,/wvFKKzJLhGbyAiFop0DLInvo6Cx.jpg,Christmas in Boston,FALSE,5.7,7.216,Gina and Seth have been pen pals for 13 years and now will have the chance to meet. Both used their best friends pictures to send to each other and now will let their friends meet. True love is found in the end for all.,2005-12-14
299578,FALSE,/qqkAHTXdjUuMELepCq3jr0Ygpr1.jpg,"c(35, 10749, 10770)",46,en,A Cookie Cutter Christmas,/2RxFyWQqExYSyWsKrHqrOojIEm6.jpg,A Cookie Cutter Christmas,FALSE,5.7,8.054,"Two longtime rivals and elementary school teachers duke it out during the holidays in a Christmas cookie bake-off, but their real feud ignites over a shared interest in a handsome single dad. With both determined to win the prize and the romance, their competitiveness could jeopardize what matters most this Christmas season.",2014-11-09
549319,FALSE,/AiRPj1aU1QJInhAk5KBbT1RWxja.jpg,"c(18, 10749, 10770)",10,en,Christmas Everlasting,/2236Ma8F55wMUHhnomZpKqVYMvC.jpg,Christmas Everlasting,FALSE,6.5,5.186,"Christmas is fast approaching and years of long workdays employed at New York’s top corporate law firm are about to pay off now that Lucy Toomey will be made partner after the New Year. However, when Alice, her older sister with special needs, unexpectedly passes away, Lucy returns back to Nilson’s Bay, Wis., to attend the funeral and handle her estate. While Lucy dreads returning to her childhood home, she also feels real sorrow that she was too busy to take her sister’s last call. Once back in Nilson’s Bay, Lucy meets Peter, her old high school sweetheart and Alice’s former attorney, who informs her of the terms of Alice’s eccentric will that states in order for Lucy to inherit the family home, she must live there for 30 days through the holidays.",2018-11-24
489204,FALSE,/xKViytxq1J96fe1Ot9kwjtX16tJ.jpg,"c(10749, 10770)",26,en,Four Christmases and a Wedding,/dY7IBzQ1odix6gHWzWIBkxT2wxU.jpg,Four Christmases and a Wedding,FALSE,6.2,8.014,"When event planner Chloe is hired to plan the local Christmas Festival, she is beyond thrilled to embrace the challenge. Professionally, everything is going great, but much to the dismay of her mother, Chloe confesses she has given up on ever finding Mr. Right. That all changes the night of the opening of the festival when she meets Evan. The two begin a whirlwind romance, but as Christmas Day nears, Chloe learns that Evan is being transferred overseas for work. What follows is three more Christmases where Chloe and Evan cross paths at the annual festival, but each year something - or someone - stands in the way of true love. Will a touch of Santa's magic on their fourth Christmas Eve finally bring them together?",2017-12-02
552004,FALSE,/nCG3zOQlS2IrFWdJNTlKIwjBGA.jpg,"c(18, 10749, 10770)",15,en,Once Upon a Christmas Miracle,/aSY8EsGoo9GmQrzOm0dEbQ3BYHX.jpg,Once Upon a Christmas Miracle,FALSE,5.6,7.979,"Told she would have less than a few months to live without a liver transplant, Heather Krueger’s time was running out when a kind stranger, Chris Dempsey, heard of her plight and discovered he was a perfect match. The two met and before long a friendship developed into romance. The movie follows Heather and Chris’ journey over three Christmases as his selfless gesture leads to a Christmas miracle for everyone involved. Based on a true story.",2018-12-02
